Time,Core Temperatures,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5,Core 6,Core 7
00:03:55,46,45,46,47,46,45,46,46,45
00:03:57,46,46,48,46,47,46,46,45,45
00:03:59,50,47,57,48,51,48,49,48,48
00:04:01,48,48,49,47,48,47,47,47,47
00:04:03,46,46,46,45,45,46,46,46,45
00:04:05,45,45,46,45,45,45,46,46,45
00:04:07,45,45,45,45,45,44,45,45,45
00:04:09,45,45,45,45,45,44,45,46,45
00:04:11,45,45,44,45,45,44,44,46,44
00:04:13,47,47,48,48,47,47,47,47,47
00:04:15,44,44,45,45,44,44,45,45,44
00:04:17,44,44,45,45,44,44,44,45,44
00:04:19,44,44,44,45,44,44,44,45,44
00:04:21,44,44,44,44,44,44,44,45,44
00:04:23,44,43,44,44,44,44,44,44,43
00:04:25,44,42,44,44,44,43,44,44,43
00:04:27,44,44,44,44,43,43,44,44,43
00:04:29,44,43,45,44,44,43,44,44,43
00:04:31,43,43,43,43,43,44,43,44,43
00:04:33,43,43,43,44,43,43,43,44,42
00:04:35,43,43,43,44,42,43,43,43,42
00:04:37,43,42,44,43,43,43,43,43,42
00:04:39,43,42,44,43,42,43,43,43,42
00:04:41,42,42,43,42,42,42,43,43,42
00:04:43,42,42,43,43,42,42,42,43,42
00:04:45,43,42,44,42,43,42,43,43,42
00:04:47,42,43,43,43,42,42,42,43,42
00:04:49,42,42,42,42,42,42,43,43,42
00:04:51,42,42,42,42,42,42,42,44,42
00:04:53,42,41,43,42,42,42,42,42,41
00:04:55,42,42,43,42,42,42,42,42,41
00:04:57,42,41,42,42,42,42,42,43,41
00:04:59,42,41,42,42,42,41,41,42,41
00:05:01,42,42,42,42,42,42,41,42,42
00:05:03,42,42,43,42,42,41,41,42,41
00:05:05,42,42,42,42,42,41,41,43,41
00:05:07,42,41,42,42,42,42,41,41,41
00:05:09,42,41,42,42,42,41,41,42,41
00:05:11,42,42,42,42,42,41,42,43,41
00:05:13,42,41,42,42,42,41,42,42,41
00:05:15,42,44,42,42,42,41,42,43,42
00:05:17,41,40,42,42,42,41,41,42,41
00:05:19,41,41,42,42,41,41,41,41,41
00:05:21,41,41,42,41,41,41,41,41,40
00:05:23,41,41,42,42,41,41,41,41,40
00:05:25,41,40,42,42,41,41,41,42,40
00:05:27,41,41,42,42,41,41,41,41,41
00:05:29,41,41,42,41,42,41,41,41,40
00:05:31,41,41,42,41,41,42,41,42,40
00:05:33,41,40,42,41,41,41,41,41,41
00:05:35,41,40,42,41,41,41,41,41,40
00:05:37,41,42,41,42,41,41,41,41,40
00:05:39,41,41,41,41,41,41,41,41,40
00:05:41,41,41,42,41,40,41,41,41,40
00:05:43,41,40,42,41,41,41,41,41,40
00:05:45,41,42,42,41,41,41,41,41,40
00:05:47,41,40,42,41,41,40,40,41,40
00:05:49,41,40,42,41,41,41,41,40,40
00:05:51,41,41,42,41,40,40,41,41,40
00:05:53,42,41,42,42,42,41,41,42,41
00:05:55,41,41,42,41,41,41,41,41,40
00:05:57,41,41,42,41,41,41,41,41,40
00:05:59,41,41,42,40,41,40,41,41,40
00:06:01,41,41,42,41,41,41,41,41,41
00:06:03,41,40,42,41,41,41,41,41,40
00:06:05,41,41,42,41,41,41,41,41,40
00:06:07,45,42,61,42,44,42,45,45,42
00:06:09,41,41,42,41,41,41,41,41,43
00:06:11,41,40,42,40,41,41,41,41,40
00:06:13,41,40,41,41,41,41,41,40,41
00:06:15,41,40,41,41,41,41,40,41,40
00:06:17,41,41,41,41,41,41,40,41,40
00:06:19,40,40,41,40,40,40,40,41,40
00:06:21,40,39,41,40,40,41,40,41,40
00:06:23,40,39,41,40,40,41,40,41,40
00:06:25,40,40,41,40,40,41,40,40,40
00:06:27,40,40,41,40,40,41,40,40,40
00:06:29,40,40,41,40,41,41,40,40,40
00:06:31,40,40,41,40,40,40,40,40,40
00:06:33,40,39,41,40,40,41,40,40,40
00:06:35,40,40,41,40,40,40,39,40,40
00:06:37,40,39,41,40,40,40,40,41,39
00:06:39,40,39,41,40,40,39,39,40,40
00:06:41,40,39,41,40,40,41,39,41,40
00:06:43,40,39,41,40,40,40,40,40,40
00:06:45,40,40,41,40,40,41,40,40,39
00:06:47,40,39,40,40,40,41,40,40,40
00:06:49,40,40,41,40,40,40,40,40,40
00:06:51,40,39,41,40,40,40,40,40,40
00:06:53,40,39,40,40,40,40,40,40,39
00:06:55,40,40,41,40,40,40,39,40,40
00:06:57,40,39,40,40,40,41,39,40,39
00:06:59,40,40,41,39,40,40,40,40,39
00:07:01,40,39,41,40,40,41,40,39,39
00:07:03,40,39,41,40,40,40,40,40,40
00:07:05,41,40,41,41,40,41,41,41,40
00:07:07,45,43,45,42,43,42,59,41,43
00:07:09,40,39,41,40,41,40,40,40,40
00:07:11,40,40,41,40,40,40,39,40,40
00:07:13,41,40,41,40,41,41,41,41,40
00:07:15,41,41,42,41,41,41,41,41,40
00:07:17,40,40,41,40,41,41,40,41,40
00:07:19,40,40,41,40,40,40,40,40,40
00:07:21,40,40,41,41,40,40,41,41,40
00:07:23,40,40,41,40,42,40,41,40,40
00:07:25,40,39,41,40,40,41,39,41,40
00:07:27,40,39,40,40,41,40,41,41,40
00:07:29,40,40,41,40,40,40,40,40,39
00:07:31,40,39,40,40,40,40,40,39,39
00:07:33,40,39,41,39,40,40,40,40,39
00:07:35,40,39,40,40,40,40,40,40,39
00:07:37,40,39,41,40,40,40,40,40,39
00:07:39,40,39,40,40,40,40,39,40,39
00:07:41,40,39,40,39,40,40,39,40,39
00:07:43,40,39,41,39,40,40,39,40,40
00:07:45,40,39,41,40,40,40,39,40,39
00:07:47,39,38,40,40,40,40,39,39,39
00:07:49,39,39,40,39,39,40,39,40,39
00:07:51,39,39,40,39,39,40,40,39,39
00:07:53,39,39,40,39,39,40,39,40,39
00:07:55,40,39,40,39,40,40,40,40,39
00:07:57,45,42,44,43,44,46,47,48,46
00:07:59,39,39,40,39,39,40,39,39,39
00:08:01,40,40,41,40,40,41,39,39,39
00:08:03,40,39,41,39,40,40,39,40,39
00:08:05,40,40,40,39,41,39,39,40,39
00:08:07,44,53,46,42,43,41,42,41,41
00:08:09,39,38,40,39,40,40,39,39,39
00:08:11,39,39,40,39,40,40,39,39,39
00:08:13,40,39,40,39,40,40,39,40,39
00:08:15,40,39,40,40,40,40,40,40,39
00:08:17,40,39,40,40,39,40,39,40,39
00:08:19,40,40,41,40,40,40,40,40,39
00:08:21,39,39,40,40,39,40,39,39,39
00:08:23,39,40,40,39,39,40,39,39,39
00:08:25,39,39,40,40,39,40,39,39,39
00:08:27,39,39,40,39,40,39,39,39,39
00:08:29,39,39,40,40,39,39,39,39,39
00:08:31,39,39,40,39,40,40,39,39,38
